Number,Opened,Short description,Priority,State,Assignment group,Template,Description,Company,Impact,Urgency,Vendor group
INC2033483,2021-12-06 10:59:35,RF Scanner Issue - unable to pick up any today orders,1 - Critical,Closed,Apps - CG WM0S 2018,Issue with WMOS 2018: RF Scanner,"IMPORTANT FOR DC: In case of HPI, please obtain below information:
If the issue is not resolved soon, how will it impact DC operations? May the incident cause a complete and immediate work stoppage affecting whole DC?


Name: Karolina

Contact Number: Extension number 3326

*** IMPORTANT INFORMATION - ALL QUESTIONS MUST BE ANSWERED***

1. Whereabouts in the DC did you observe the problem?  Please give as much information as possible e.g. if in the mezzanine area, which floor were you on and whereabouts within the floor (aisle reference and shelf)?  If you can see an access point on the ceiling can you confirm what its number is?

2.      How long does it take between each scanned task? n/a

3.      Does it persist when moving to a different location? yes

4. How many people are experiencing this problem, and are they in the same location or in other areas of the DC? 35 people on singles 15- box pick, 15/17- on dispatch department.

5. Is general Network access affect i.e.
• Can you send and receive emails on a PC
• Access the internet on a PC
• Access Nova
• Are Cognos Reports affected

6. If you can login: 
• can you navigate around via the menu?
• are you being assigned tasks via the RF Scanner ?
o If you are assigned a task, can you scan the LPN and/or item barcodes?


7. Is the problem that the screen of the RF scanner has frozen?  If so what transaction were you performing when the scanner froze and what screen prompt were you at?

8. Is this problem intermittent and if so, how often over the past hour and day has it been happening, and how long does it usually take to obtain a response from the system?

9. What was the battery life of the RF scanner as displayed on the screen when you experienced the problem?

10. What was the RF signal of the RF scanner as displayed on the screen when you experienced a problem?  In particular was an 'X' displayed?  

11. **KNOWSLEY DC ONLY READ FOLLOWING STATEMENTS FULLY** 
DC management state that if performance is affected then a restart is required!

- Is this a single user / multiple user issue?
NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs)
2. How urgent this is for you?
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do?
5. Is there any workaround?
6.  Have you tested it on another PC?


Given this requirement what time would be best for the DC to take an outage of approx 1 hour? 
an email to the DC Manager will be required to confirm this information, especially if they say the restart is not required.
Speak to Team Leader to advise of issue.


Please see
KB0014432 [Matalan] How to log a faulty RF Scanner (DC)?
KB0014360 [Matalan] How to proceed with RF scanner slowness (DC)?
",Matalan,1 - Extensive/Widespread,1 - Critical,3rd Party – Maintel (In Progress)
INC2030733,2021-12-05 17:36:25,High Priority - Wave stuck in Wave Scheduled Status,1 - Critical,Closed,Apps - CG WM0S 2018,WMOS: Issue with DDR  Wave,"User Name: Pavel_M
Email Id: pavel_m@matalan.co.uk
Contact Number:  0151 556 6899 
Wave Type:  PS No Short With Singles

Email:
Hi IT,

The wave 202112050006 PS No Short With Singles has been started at 20:05 and it still seems to be in Wave Scheduled Status. We have double-checked all the parameters and everything seems to be correct on our side with no other waves running in the background.

Can this call be logged as a P1 as this is stopping us from running other waves and we are having outstanding volume for approximately 1.5 hours.

Please reply to all recipients of this message when sending an answer, all management has to be aware of the situation.
You can contact us on 0151 556 6899 

Thanks,
Marian Pavel
N2 - Shift 
Wave and Inbound Planner
E-mail : Pavel_M@matalan.co.uk


Please See:
KB0011961  [Matalan] DDR wave is not visible on wave queue as running",Matalan,1 - Extensive/Widespread,1 - Critical,
INC1997896,2021-11-28 14:17:53,RF Scanner Issue,1 - Critical,Closed,Apps - CG WM0S 2018,Issue with WMOS 2018: RF Scanner,"IMPORTANT FOR DC: In case of HPI, please obtain below information:
If the issue is not resolved soon, how will it impact DC operations? May the incident cause a complete and immediate work stoppage affecting whole DC?


Name: Wojciech

Contact Number:

*** IMPORTANT INFORMATION - ALL QUESTIONS MUST BE ANSWERED***

1. Whereabouts in the DC did you observe the problem?  Please give as much information as possible e.g. if in the mezzanine area, which floor were you on and whereabouts within the floor (aisle reference and shelf)?  If you can see an access point on the ceiling can you confirm what its number is?

2.      How long does it take between each scanned task?

3.      Does it persist when moving to a different location?

4. How many people are experiencing this problem, and are they in the same location or in other areas of the DC?

5. Is general Network access affect i.e.
• Can you send and receive emails on a PC
• Access the internet on a PC
• Access Nova
• Are Cognos Reports affected

6. If you can login: 
• can you navigate around via the menu?
• are you being assigned tasks via the RF Scanner ?
o If you are assigned a task, can you scan the LPN and/or item barcodes?


7. Is the problem that the screen of the RF scanner has frozen?  If so what transaction were you performing when the scanner froze and what screen prompt were you at?

8. Is this problem intermittent and if so, how often over the past hour and day has it been happening, and how long does it usually take to obtain a response from the system?

9. What was the battery life of the RF scanner as displayed on the screen when you experienced the problem?

10. What was the RF signal of the RF scanner as displayed on the screen when you experienced a problem?  In particular was an 'X' displayed?  

11. **KNOWSLEY DC ONLY READ FOLLOWING STATEMENTS FULLY** 
DC management state that if performance is affected then a restart is required!

- Is this a single user / multiple user issue?
NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs)
2. How urgent this is for you?
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do?
5. Is there any workaround?
6.  Have you tested it on another PC?


Given this requirement what time would be best for the DC to take an outage of approx 1 hour? 
an email to the DC Manager will be required to confirm this information, especially if they say the restart is not required.
Speak to Team Leader to advise of issue.


Please see
KB0014432 [Matalan] How to log a faulty RF Scanner (DC)?
KB0014360 [Matalan] How to proceed with RF scanner slowness (DC)?
",Matalan,1 - Extensive/Widespread,1 - Critical,
INC1906108,2021-11-09 15:28:13,Matalan ServiceNow Test Simulation,2 - High,Closed,Capgemini Qradar Support - CG_GSOC_OPS_Support,,"Hello, This is testing the SOAR-SNOW Integration",Matalan,4 - Minor/Localized,1 - Critical,
INC1881639,2021-11-08 09:58:48,Test2,2 - High,Closed,Capgemini Qradar Support - CG_GSOC_OPS_Support,,Full Description,Matalan,4 - Minor/Localized,1 - Critical,
INC1881630,2021-11-08 09:57:16,Test,2 - High,Closed,Capgemini Qradar Support - CG_GSOC_OPS_Support,,Hello this is for testing ,Matalan,4 - Minor/Localized,1 - Critical,
INC1881598,2021-11-08 09:52:12,Test,2 - High,Closed,Capgemini Qradar Support - CG_GSOC_OPS_Support,,Hello this is for testing ,Matalan,4 - Minor/Localized,1 - Critical,
INC1098575,2021-06-08 17:30:09,P1 Cyber Security Incident - HO User account details leaked to Store Users ,1 - Critical,Closed,IS - CG Service Desk,Security breach issue,"User: Carl Thorp

Issue: Capgemini were asked to set up 639 users from a list that we provided them that originated from HR. This list included Last Name, First Name, role / job title and the users location. This was followed up with a further 107 users.

It has now transpired that Capgemini made an error in matching user account names and the account details of Head Office (HO) users have been sent to Store Users with a default password. If the Store User has attempted to access the account using the default password and then failed to gain access, they are likely to contact the service desk who may have automatically reset the account password. This will give the Store User access to the HO user account. A small sample of accounts has been taken and this has been found to include the account of the Rewards and Comms Manager.

The project team have been informed that they have 24 hours from 14:30 to provide a list to the Matalan Cyber Security Architect of any HO office account that has been exposed to Store Users so that we can identify if there has been any potential breach of GDPR.

Please contact first Incident Manager or Senior Agent. Do not raise HPI without any consultations.

Follow one of below KBA:
KB0014162  [Matalan] Security breach. Email sent by Matalan user from other domain than Matalan (@matalan.co.uk
KB0014163 [Matalan] How to proceed with a Phishing email? Suspicious email with attachment.
You do have access to snow, right? Otherwise, I'll send word versions.
",Matalan,1 - Extensive/Widespread,1 - Critical,
INC1063326,2021-06-02 12:39:10,Matalan mobile app - unable to make a payment in checkout,1 - Critical,Closed,Apps - CG Multichannel Support,Standard Incident,"Name:  Liam Russell

Details: Please note that we have identified a live issue with the Matalan mobile app.

When a customer is attempting to make a payment in checkout, they are kicked back to the homepage of the app.

When the customer then attempts to checkout again they reach an error screen (page not found) after selecting their delivery method.

We have been able to replicate these issues in Android only. We were able to successfully place orders on both IOS and the Matalan website.


POC: 0044 7894 71877

- Is this a single user / multiple user issue?
NOTE: If multiple users are affected, below questions MUST be answered:
1. If multiple users are affected, can they provide few user-IDs)
2. How urgent this is for you?
3. How does it affect your daily work (does it slow down your work or does it prevent you from working completely)?
4. What are you trying to do?
5. Is there any workaround?
6.  Have you tested it on another PC?

NOTE: When logging a call with a 3rd Party/ resolving team, please MAKE SURE that the below details are included in the email:
- Contact Name: 
- Contact Number: 
- Head Office / Store (Delete as appropriate) 
- Store Number (If applicable) 
- Address: 
- Postcode:
- Problem Description:


incase of optima issues:

Party ID
Email address
Reward Card
Full Name

Any customer information that is sent to the support inbox must be sent in a password protected document and not listed within an email. 

See KB below or, in case KB is missing, mark knowledge box:
KB0014429 [Matalan] WinSCP - How to configure SFTP connection to Vitesse for DC users
KB0014822 [Matalan] Weekend Reports - WSSI.
KB0014771 [Matalan] Secure Trading Issue.
KB0014816 [Matalan] Stakeholder Pensions.
KB0014790 [Matalan] SQL Developer - ORACLE only available to users with RESTRICTED SESSION privilege
KB0010758 [Matalan] Screen Diares Extract issue
KB0011018 [Matalan] Power BI report issue
KB0011017 [Matalan] Oracle - How to handle POREC file issues?
KB0014751 [Matalan] Metapack error E20094 Unable to modify
KB0014763 [Matalan] Marketing System.
KB0014830 [Matalan] Booking System (DC Booking).
KB0014366 [Matalan] How to proceed with Path/file access error (Spool File Retriever)?
KB0014501 [Matalan] How to proceed with NexGen/ Proud to be Matalan website issue? (Matalan)
KB0014243 [Matalan] How to proceed when User is not seeing any parameter options on the reports or any data (N
KB0015055 [Matalan] How to proceed when user cannot open a video material (CCTV footage)?
KB0014112 [Matalan] Unable to access .ERR files.
KB0014410 [Matalan] How to handle Weaves issue - HASP key not found (H0007)?
KB0014212 [Matalan] How to handle Missing partner articlenumber for Matalan (email)?
KB0014610 [Matalan] How to handle issue with Spool File Retriever? Error: Could not find the FTP command file.
KB0014513 [Matalan] How to handle Air Conditioning Unit issues in DC (server room)?
KB0014861 [Matalan] How to deal with IBM Cognos report issue? The operation failed error message.
KB0014753 [Matalan] Dematic Maintenance - unable to access the Hanging Garment servers via VPN.
KB0014834 [Matalan] Debit Note System.
KB0014729 [Matalan] Citrix issue Citrix plug-in installation
KB0014782 [Matalan] ATC daily sales (Daily sales report).
KB0015764 [Matalan] BI Report - How to proceed with BI Batch email / sending Comm's / batch delay",Matalan,1 - Extensive/Widespread,1 - Critical,
INC1860509,2021-11-03 10:01:45,WMOS 2018 Issue Problem with messaging between WMS and WCS systems,1 - Critical,Closed,Apps - CG WM0S 2018,Issue with software: WMOS 2018,"*** Please fill in below information as these are important for automation purposes ***
For Maintel tickets:

Description: 
Troubleshooting Steps: 
Error codes: 
Description of Configuration Item: 
Impact:

IMPORTANT FOR DC: In case of HPI, please obtain below information:
If the issue is not resolved soon, how will it impact DC operations? May the incident cause a complete and immediate work stoppage affecting whole DC?

User Name:-    Marc

User ID:-    powell_m

1. Problem:-    Problem with messaging between WMS and WCS systems

2. Priority Required:-P1
 
3. Potential Impact Now:- can't dispatch orders to customers

4. Potential Impact if not resolved within 2 hours:- 

5. If this is relating to a report issue, what is the name of the report?:-       

6. Is this a single user / multiple user issue?    
(If multiple users are affected, can they provide few user-ids)

7. Is the whole DC experiencing the problem or one particular Department?      

8. What type of device is being used e.g. Scanner  
If they issue is with scanner, have they checked the scanner & nearby access point signal? Is it at good strength?   

9. Can you access the WMoS screen on the PC?

10. What time the issue started:

11. What were you doing when the issue occurred and which screen were you accessing, menu option etc.      

12. At what point did the task fail?       

13. Are there any error messages, any DB error message(if possible attach screenshot or text message):-      

14. If it's a hanging task, did it stop midway through?       

15. Any other relevant information -       

16. **KNOWSLEY DC ONLY READ FOLLOWING STATEMENTS FULLY** 
DC management state that if performance is affected then a restart is required!

Given this requirement what time would be best for the DC to take an outage of approx 1 hour? 
an email to the DC Manager will be required to confirm this information, especially if they say the restart is not required.
Speak to Team Leader to advise of issue.

INFORMATION    All calls should be assigned to the WMOS2008 queue for initial assessment and re-assignment if necessary.  

Hardware is on a HP Platform and is supported by Offshore HPUX Team.    

Webservers are supported by the Wintel Server Desktop Team.    

Manhattan provide 3rd line support for the WMOS Application. The WMOS Team will determine whether or not the call needs to be logged to Manhattan.        

KB0014198 [Matalan] E-Commerce Orders checking.
KB0014602 [Matalan] How to proceed when Orders do not go through from WM system to Nova?
KB0014810  [Matalan] How to proceed with WMOS system failure? Warehouse Management System- WMOS (WM). Server issue.
KB0014740  [Matalan] WMOS in Galaxy and Corby- access links.
KB0014486 [Matalan] WMOS - How to proceed ILPN/ LPN/ oLPN issues (DC)?
KB0014873 [Matalan] WMOS - User cannot run waves. Waves issue. SQL Developer. DC
KB0014591 [Matalan] How to proceed with order status change request (WMOS/E-comm)?
KB0043353  [Matalan] Click and collect orders are failing to be manifest from WMOS to Nova
KB0014758 [Matalan] WMOS 2018 - Corby DC WMOS issues. CDC
KB0014138 Heap Usage Alert from WMoS
",Matalan,1 - Extensive/Widespread,1 - Critical,
